题号,类别,子类/病例,参考答案,评分方式,出处数据集
DX1-001,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-002,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-003,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-004,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-005,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-006,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-007,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-008,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-009,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-010,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-011,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-012,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-013,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-014,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-015,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-016,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-017,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-018,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-019,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-020,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-021,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-022,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-023,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-024,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-025,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-026,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-027,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-028,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-029,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-030,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-031,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-032,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-033,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-034,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-035,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-036,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-037,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-038,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-039,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-040,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-041,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-042,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-043,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-044,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-045,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-046,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-047,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-048,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-049,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-050,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-051,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-052,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-053,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-054,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-055,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-056,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-057,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-058,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-059,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-060,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-061,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-062,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
